train_loss,train_acc,test_loss,test_acc,seconds,num_participant_points,e,d,nm,norm
0.5194,0.8436,0.3928,0.8789,1.601,17337,"{""0"": 0.9073807376824324, ""42000"": 2.009827153256483, ""54000"": 4.970062335176144}",1e-05,5.0,5.0
0.399,0.8742,0.4467,0.8623,1.6573,17395,"{""0"": 0.9204473122518549, ""42000"": 2.041021910869983, ""54000"": 5.047700449414896}",1e-05,5.0,5.0
0.4378,0.8659,0.4803,0.8487,1.6898,17425,"{""0"": 0.9335138868212774, ""42000"": 2.0722166684834837, ""54000"": 5.125338563653648}",1e-05,5.0,5.0
0.4967,0.8435,0.4879,0.8546,1.6576,17346,"{""0"": 0.9465804613907, ""42000"": 2.1024425782342226, ""54000"": 5.2029766778924005}",1e-05,5.0,5.0
0.4745,0.8573,0.4444,0.8643,1.5818,17180,"{""0"": 0.9596470359601225, ""42000"": 2.1302258151536004, ""54000"": 5.280614792131153}",1e-05,5.0,5.0
0.4521,0.8611,0.4776,0.8583,1.5986,17487,"{""0"": 0.9720115272255854, ""42000"": 2.158009052072978, ""54000"": 5.358252906369905}",1e-05,5.0,5.0
0.4595,0.8615,0.4166,0.8745,1.5776,17135,"{""0"": 0.9842653807627078, ""42000"": 2.185792288992356, ""54000"": 5.435891020608657}",1e-05,5.0,5.0
0.436,0.8699,0.452,0.8669,1.6491,17318,"{""0"": 0.9965192342998301, ""42000"": 2.213575525911734, ""54000"": 5.513529134847409}",1e-05,5.0,5.0
0.4423,0.8662,0.4316,0.8746,1.6597,17410,"{""0"": 1.0087730878369523, ""42000"": 2.2413587628311116, ""54000"": 5.591167249086161}",1e-05,5.0,5.0
0.4343,0.8713,0.4096,0.877,1.6432,17165,"{""0"": 1.021026941374075, ""42000"": 2.2691419997504894, ""54000"": 5.668805363324913}",1e-05,5.0,5.0
0.4044,0.8795,0.4005,0.8865,1.584,17246,"{""0"": 1.033280794911197, ""42000"": 2.296925236669867, ""54000"": 5.746443477563665}",1e-05,5.0,5.0
